imgurl,date
https://dlcs.io/iiif-img/2/1/8af2276e-9d0d-45d1-a798-8ffe8efa4e49/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1859-09-15T00:00:00
https://dlcs.io/iiif-img/2/1/e1655422-a350-46bd-bcb3-828b6ef5090b/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1859-09-15T00:00:00
https://dlcs.io/iiif-img/2/1/7e567f03-57f9-4cae-903a-1846c9bec23f/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-02-09T00:00:00
https://dlcs.io/iiif-img/2/1/df91c364-1a6f-40a9-93ee-9fbe915c0965/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-04-12T00:00:00
https://dlcs.io/iiif-img/2/1/70e022c5-c966-4cc5-b28b-02941cd966e2/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-04-26T00:00:00
https://dlcs.io/iiif-img/2/1/633fef94-915c-43e6-b5e2-caa505d8acae/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-06-28T00:00:00
https://dlcs.io/iiif-img/2/1/da600c3f-a52c-4a22-b071-bfbd2151e93f/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-08-02T00:00:00
https://dlcs.io/iiif-img/2/1/476484cf-f5f1-4feb-ae98-12f88984a643/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-09-06T00:00:00
https://dlcs.io/iiif-img/2/1/31a79718-376b-4213-b61f-9c2d8497c392/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-08-30T00:00:00
https://dlcs.io/iiif-img/2/1/0674df2b-265d-4341-8cc2-151775abdd1c/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-09-20T00:00:00
https://dlcs.io/iiif-img/2/1/64ded600-b3fa-4712-bbc4-62bd30d194ff/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-10-11T00:00:00
https://dlcs.io/iiif-img/2/1/08f50618-cdb8-488d-af03-c54ec6711e68/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-11-22T00:00:00
https://dlcs.io/iiif-img/2/1/d76643b9-6dfb-4771-8bb1-12f571f2dc3e/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-11-22T00:00:00
https://dlcs.io/iiif-img/2/1/d1c378de-7563-45e6-9a82-f4121d15931e/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-11-22T00:00:00
https://dlcs.io/iiif-img/2/1/23ae399e-33ee-423a-be94-64cf93c84120/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-12-13T00:00:00
https://dlcs.io/iiif-img/2/1/30ece206-0bad-47e5-b715-c1c5ef300f02/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-12-27T00:00:00
https://dlcs.io/iiif-img/2/1/9a481978-ba9b-4760-af91-d77af35d63e2/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-12-27T00:00:00
https://dlcs.io/iiif-img/2/1/af8484ea-fc9a-4475-98ac-2a4c2ec1a463/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1925-04-25T00:00:00
https://dlcs.io/iiif-img/2/1/fc290605-5701-4809-9010-fb1bab55f1fa/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1925-07-04T00:00:00
https://dlcs.io/iiif-img/2/1/19f8acec-ded8-42ba-97f7-d0f4d78798ab/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1925-07-11T00:00:00
https://dlcs.io/iiif-img/2/1/1b65a517-e37c-4b4c-9545-87dfb205d7a2/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1925-11-28T00:00:00
https://dlcs.io/iiif-img/2/1/e64a46d4-e6e3-414b-bf7e-b8e6eb3e72fe/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1925-12-05T00:00:00
https://dlcs.io/iiif-img/2/1/81e5d87c-df99-47e2-bb55-0d50b366ebe8/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1926-01-30T00:00:00
https://dlcs.io/iiif-img/2/1/25ed31a7-c811-45a3-ab88-75c27783819f/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1926-02-06T00:00:00
https://dlcs.io/iiif-img/2/1/a3079777-8a74-458b-928e-a01c0c70a417/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1926-03-13T00:00:00
https://dlcs.io/iiif-img/2/1/bce3ea65-bdfd-46ab-88e2-93b8df6a3eb9/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1926-06-12T00:00:00
https://dlcs.io/iiif-img/2/1/4c7956a2-7561-4621-9a57-e52ae6a7e88e/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1926-07-17T00:00:00
https://dlcs.io/iiif-img/2/1/040c852f-272c-4f64-897a-7927781d39ea/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1926-07-17T00:00:00
https://dlcs.io/iiif-img/2/1/f8d7d971-fe4b-4d46-9758-78634fa11feb/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1926-07-03T00:00:00
https://dlcs.io/iiif-img/2/1/99efcae3-5411-4290-9821-045eb3747da5/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1926-09-04T00:00:00
https://dlcs.io/iiif-img/2/1/93edd559-634f-4ffa-bbfd-a26ca80a18be/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1926-10-30T00:00:00
https://dlcs.io/iiif-img/2/1/68fb6b9c-350f-41f1-8232-dee801708c01/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1926-11-13T00:00:00
https://dlcs.io/iiif-img/2/1/41b6d6e0-001b-4424-adf6-33a68ce47cef/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1926-12-11T00:00:00
https://dlcs.io/iiif-img/2/1/8af93823-4839-48b6-8fb6-c1c0abf4c5c0/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1927-01-15T00:00:00
https://dlcs.io/iiif-img/2/1/87739653-0dc3-4d25-bf06-ffe1801bd24e/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1927-01-22T00:00:00
https://dlcs.io/iiif-img/2/1/896207f2-afa2-4a49-99a5-e0b94bc4086e/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1927-01-29T00:00:00
https://dlcs.io/iiif-img/2/1/516cebee-2ee0-481f-ba13-fd1b5718dc9a/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1927-01-29T00:00:00
https://dlcs.io/iiif-img/2/1/ea265274-0956-4434-b977-5c5d3a496eec/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1927-02-19T00:00:00
https://dlcs.io/iiif-img/2/1/6f4f0bc5-b4d1-4db2-9eb6-2e06c779959f/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1927-04-16T00:00:00
https://dlcs.io/iiif-img/2/1/ec9de705-1301-4aa7-9141-1b7738ceba55/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1927-06-18T00:00:00
https://dlcs.io/iiif-img/2/1/e21f5c1e-1681-4e33-ac3a-63ce619a98d0/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1927-07-16T00:00:00
https://dlcs.io/iiif-img/2/1/65cb3a7d-4e42-44d5-9f41-5af87ff95b7f/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1927-07-02T00:00:00
https://dlcs.io/iiif-img/2/1/9fa9189a-f854-4996-8696-2ff98bae4ef2/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1927-09-03T00:00:00
