imgurl,date,playerurl,title,bnumber,issue,assetindex
https://dlcs.io/iiif-img/2/1/7b286ac2-3a36-4857-b7df-e8cb2e210ffd/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1936-12-12T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=673&s=0&cv=73,"The chemist and druggist, issue 2966 - 12. December 1936",b19974760,673,73
https://dlcs.io/iiif-img/2/1/517494bb-dc59-4fba-aa53-557950faacb8/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1937-01-16T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=678&s=0&cv=8,"The chemist and druggist, issue 2971 - 16. January 1937",b19974760,678,8
https://dlcs.io/iiif-img/2/1/07d52a4f-9e40-40cc-8dd3-58ed5dc18134/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1937-01-30T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=680&s=0&cv=8,"The chemist and druggist, issue 2973 - 30. January 1937",b19974760,680,8
https://dlcs.io/iiif-img/2/1/734b557e-9675-4f5c-b77b-a549aaa5c3d3/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1937-02-13T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=682&s=0&cv=57,"The chemist and druggist, issue 2975 - 13. February 1937",b19974760,682,57
https://dlcs.io/iiif-img/2/1/f499d2dc-830a-41cc-a450-1be0c19ee51b/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1937-02-27T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=684&s=0&cv=8,"The chemist and druggist, issue 2977 - 27. February 1937",b19974760,684,8
https://dlcs.io/iiif-img/2/1/dce991ba-c147-49fc-9b0f-2a7bcda66590/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1937-03-27T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=688&s=0&cv=8,"The chemist and druggist, issue 2981 - 27. March 1937",b19974760,688,8
https://dlcs.io/iiif-img/2/1/f1a50d3c-8955-4888-a8a9-b788e8cc7b7e/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1938-09-24T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=768&s=0&cv=51,"The chemist and druggist, issue 3059 - 24. September 1938",b19974760,768,51
https://dlcs.io/iiif-img/2/1/e2528d97-9dfd-4c4e-9144-97570fee89c9/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1940-03-23T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=856&s=0&cv=19,"The chemist and druggist, issue 3137 - 23. March 1940",b19974760,856,19
https://dlcs.io/iiif-img/2/1/6b4e7289-76d1-47ec-a78d-254683af5798/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1940-03-23T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=856&s=0&cv=24,"The chemist and druggist, issue 3137 - 23. March 1940",b19974760,856,24
https://dlcs.io/iiif-img/2/1/24aadcf8-6ad9-4d97-a0b8-d7bdc7f226d2/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1940-04-27T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=861&s=0&cv=23,"The chemist and druggist, issue 3142 - 27. April 1940",b19974760,861,23
https://dlcs.io/iiif-img/2/1/55384bfa-6223-499e-8815-d7a859e5addc/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1940-05-25T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=865&s=0&cv=29,"The chemist and druggist, issue 3146 - 25. May 1940",b19974760,865,29
https://dlcs.io/iiif-img/2/1/94864edf-537f-40bf-96d1-18cb66d8643e/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1940-06-22T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=869&s=0&cv=17,"The chemist and druggist, issue 3150 - 22. June 1940",b19974760,869,17
https://dlcs.io/iiif-img/2/1/78beda22-edcc-4905-a9d6-08300bac149a/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1940-12-07T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=893&s=0&cv=40,"The chemist and druggist, issue 3174 - 7. December 1940",b19974760,893,40
https://dlcs.io/iiif-img/2/1/902eae34-f1e3-4209-a2b7-2a197750822d/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1940-12-14T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=894&s=0&cv=38,"The chemist and druggist, issue 3175 - 14. December 1940",b19974760,894,38
https://dlcs.io/iiif-img/2/1/b767922f-7cf2-46e5-bcba-66b910e14a51/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1941-06-28T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=922&s=0&cv=40,"The chemist and druggist, issue 3203 - 28. June 1941",b19974760,922,40
https://dlcs.io/iiif-img/2/1/201f4ef4-0317-4adf-a7b1-86174fc9805d/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1941-06-28T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=922&s=0&cv=111,"The chemist and druggist, issue 3203 - 28. June 1941",b19974760,922,111
https://dlcs.io/iiif-img/2/1/a77f0c76-656c-4423-9c4c-85e3b30e3f27/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1941-07-26T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=926&s=0&cv=59,"The chemist and druggist, issue 3207 - 26. July 1941",b19974760,926,59
https://dlcs.io/iiif-img/2/1/8253ece7-e42e-441a-a469-76f76a115387/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1941-08-23T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=930&s=0&cv=36,"The chemist and druggist, issue 3211 - 23. August 1941",b19974760,930,36
https://dlcs.io/iiif-img/2/1/550390d6-09d6-4551-ba0d-d163f5103348/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1941-09-27T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=935&s=0&cv=41,"The chemist and druggist, issue 3216 - 27. September 1941",b19974760,935,41
https://dlcs.io/iiif-img/2/1/95452215-578d-4233-960f-28f2acbae733/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1941-10-25T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=939&s=0&cv=65,"The chemist and druggist, issue 3220 - 25. October 1941",b19974760,939,65
