imgurl,date,playerurl,title,bnumber,issue,assetindex
https://dlcs.io/iiif-img/2/1/040c852f-272c-4f64-897a-7927781d39ea/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1926-07-17T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=158&s=0&cv=55,"The chemist and druggist, issue 2423 - 17. July 1926",b19974760,158,55
https://dlcs.io/iiif-img/2/1/99efcae3-5411-4290-9821-045eb3747da5/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1926-09-04T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=165&s=0&cv=45,"The chemist and druggist, issue 2430 - 4. September 1926",b19974760,165,45
https://dlcs.io/iiif-img/2/1/93edd559-634f-4ffa-bbfd-a26ca80a18be/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1926-10-30T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=173&s=0&cv=76,"The chemist and druggist, issue 2438 - 30. October 1926",b19974760,173,76
https://dlcs.io/iiif-img/2/1/896207f2-afa2-4a49-99a5-e0b94bc4086e/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-01-29T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=186&s=0&cv=12,"The chemist and druggist, issue 2451 - 29. January 1927",b19974760,186,12
https://dlcs.io/iiif-img/2/1/516cebee-2ee0-481f-ba13-fd1b5718dc9a/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-01-29T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=186&s=0&cv=54,"The chemist and druggist, issue 2451 - 29. January 1927",b19974760,186,54
https://dlcs.io/iiif-img/2/1/ea265274-0956-4434-b977-5c5d3a496eec/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-02-19T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=189&s=0&cv=82,"The chemist and druggist, issue 2454 - 19. February 1927",b19974760,189,82
https://dlcs.io/iiif-img/2/1/65cb3a7d-4e42-44d5-9f41-5af87ff95b7f/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-07-02T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=208&s=0&cv=42,"The chemist and druggist, issue 2473 - 2. July 1927",b19974760,208,42
https://dlcs.io/iiif-img/2/1/694c2f0b-bc95-4580-93b0-26e338488340/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-09-03T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=217&s=0&cv=77,"The chemist and druggist, issue 2482 - 3. September 1927",b19974760,217,77
https://dlcs.io/iiif-img/2/1/a1167a17-3d3b-410b-add0-f22e477ab863/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-09-17T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=219&s=0&cv=78,"The chemist and druggist, issue 2484 - 17. September 1927",b19974760,219,78
https://dlcs.io/iiif-img/2/1/01e4face-4b05-4782-95bc-1304ddb3ca4e/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-09-24T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=220&s=0&cv=12,"The chemist and druggist, issue 2485 - 24. September 1927",b19974760,220,12
https://dlcs.io/iiif-img/2/1/0753cdfa-31df-4293-96e2-9ba218b3c63d/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-10-22T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=224&s=0&cv=81,"The chemist and druggist, issue 2489 - 22. October 1927",b19974760,224,81
https://dlcs.io/iiif-img/2/1/590b0292-7549-4491-82e7-e854371238ea/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-11-12T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=227&s=0&cv=49,"The chemist and druggist, issue 2492 - 12. November 1927",b19974760,227,49
https://dlcs.io/iiif-img/2/1/27adf619-fd8a-4e41-97fa-feedaa506378/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-11-12T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=227&s=0&cv=88,"The chemist and druggist, issue 2492 - 12. November 1927",b19974760,227,88
https://dlcs.io/iiif-img/2/1/a179b985-6e28-4c1e-87b6-fc62ea9e4cc0/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-11-26T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=229&s=0&cv=49,"The chemist and druggist, issue 2494 - 26. November 1927",b19974760,229,49
https://dlcs.io/iiif-img/2/1/65861315-ed2d-4444-8523-ddd89e3b0043/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1928-01-28T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=238&s=0&cv=12,"The chemist and druggist, issue 2503 - 28. January 1928",b19974760,238,12
https://dlcs.io/iiif-img/2/1/88048aff-a082-4c37-897d-2eb53acfb19f/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1928-03-03T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=243&s=0&cv=58,"The chemist and druggist, issue 2508 - 3. March 1928",b19974760,243,58
https://dlcs.io/iiif-img/2/1/33bffb10-080f-4607-8d10-aa1abc8b159d/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1928-05-12T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=253&s=0&cv=59,"The chemist and druggist, issue 2518 - 12. May 1928",b19974760,253,59
https://dlcs.io/iiif-img/2/1/d2712492-a208-4213-8f0b-2cf447f352ce/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1928-06-30T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=260&s=0&cv=215,"The chemist and druggist, issue 2525 - 30. June 1928",b19974760,260,215
