imgurl,date
https://dlcs.io/iiif-img/2/1/43879013-9664-4ae5-9aac-d8afade9191d/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1860-02-15T00:00:00
https://dlcs.io/iiif-img/2/1/0f71b79e-7a6f-4d00-8884-d07d30ed1799/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1860-02-15T00:00:00
https://dlcs.io/iiif-img/2/1/10961c44-a4ff-4e18-a66f-6baf37255edd/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1860-05-15T00:00:00
https://dlcs.io/iiif-img/2/1/c21f60b5-97d5-4e5b-99ce-bf94233fb6f0/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1860-03-15T00:00:00
https://dlcs.io/iiif-img/2/1/77150fb9-6864-45a6-899c-fe9d03daa470/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1860-04-14T00:00:00
https://dlcs.io/iiif-img/2/1/ed683cea-0e76-4b63-a441-faf322cf142e/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1860-06-15T00:00:00
https://dlcs.io/iiif-img/2/1/a88618fe-5590-4d83-82ea-687f5ba6668b/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1860-10-15T00:00:00
https://dlcs.io/iiif-img/2/1/022ed97b-33a9-4eb7-afdc-518f51205aa6/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-01-19T00:00:00
https://dlcs.io/iiif-img/2/1/397bfa8b-3566-4e8e-869c-f7c436c35d6a/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-01-19T00:00:00
https://dlcs.io/iiif-img/2/1/95dafcbc-b02e-489a-9275-7ecffd45b26b/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-01-19T00:00:00
https://dlcs.io/iiif-img/2/1/aaa6f709-9014-491c-862a-c9df7ce49921/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-01-19T00:00:00
https://dlcs.io/iiif-img/2/1/c2f476d4-8a75-4a9e-bc4c-5fdcd416be66/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-01-19T00:00:00
https://dlcs.io/iiif-img/2/1/67e80347-e14b-4da8-9732-d5bf75348305/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1860-12-15T00:00:00
https://dlcs.io/iiif-img/2/1/0265f9d1-6f8d-417f-aaf1-6bc3edfeb895/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-01-26T00:00:00
https://dlcs.io/iiif-img/2/1/7a690099-538d-421a-8fb3-602ecc3da02e/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-02-02T00:00:00
https://dlcs.io/iiif-img/2/1/0f3702b4-2db9-44bd-9e37-3e4054ddd8cf/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-02-02T00:00:00
https://dlcs.io/iiif-img/2/1/3966b142-229d-4f44-9ef0-208c8bf77ecc/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-02-02T00:00:00
https://dlcs.io/iiif-img/2/1/c23b9fd2-f3de-4521-a19b-e4860801e53c/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-02-09T00:00:00
https://dlcs.io/iiif-img/2/1/437e16d3-b953-44ad-ae5f-6b6242e909ea/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-01-05T00:00:00
https://dlcs.io/iiif-img/2/1/82a4e693-35aa-4902-adc8-b16fb164c5fe/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-01-05T00:00:00
https://dlcs.io/iiif-img/2/1/ca849c78-f8bc-4fb8-8755-934e9bdfdb79/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-01-05T00:00:00
https://dlcs.io/iiif-img/2/1/dbd3146f-39b3-426f-8f8a-69f68264d5e0/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-01-05T00:00:00
https://dlcs.io/iiif-img/2/1/32a443b6-8bc0-491e-b19b-5b1b5b1506a0/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-02-16T00:00:00
https://dlcs.io/iiif-img/2/1/85aa1a12-ed5d-4368-916b-8401dcefaaae/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-02-16T00:00:00
https://dlcs.io/iiif-img/2/1/a993a359-f78d-421c-bbbf-d32e59d73679/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-02-16T00:00:00
https://dlcs.io/iiif-img/2/1/39540f2f-bbc8-4fe6-8ede-9f3e7deb8e4c/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-22T00:00:00
https://dlcs.io/iiif-img/2/1/f3d854ac-5d41-453c-963a-1d0a33ce85fe/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-08T00:00:00
https://dlcs.io/iiif-img/2/1/3bcf17c3-522f-46d1-a6ff-f1480414ddcd/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-02-23T00:00:00
https://dlcs.io/iiif-img/2/1/32230c84-f9b1-4529-9627-be550eb0f3a5/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-15T00:00:00
https://dlcs.io/iiif-img/2/1/3a6f856b-7561-44cb-a074-9e5f13163662/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-15T00:00:00
https://dlcs.io/iiif-img/2/1/d83321d3-267f-41c1-b5a2-e32717e5cf62/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-15T00:00:00
https://dlcs.io/iiif-img/2/1/247cbece-21d4-461d-b72a-ba306c6475c1/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-29T00:00:00
https://dlcs.io/iiif-img/2/1/b7fb2164-cd9b-4301-a660-b43276510244/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-29T00:00:00
https://dlcs.io/iiif-img/2/1/504af0c8-f1ed-4f4f-bccf-d6aa7b01db74/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-29T00:00:00
https://dlcs.io/iiif-img/2/1/af92dcc3-83a6-4568-93c5-8031c30113f2/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-29T00:00:00
https://dlcs.io/iiif-img/2/1/79776662-5804-44b4-9c9e-30524c2a23ff/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-29T00:00:00
https://dlcs.io/iiif-img/2/1/2563dc91-a427-45fc-8379-03a31f736347/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-01T00:00:00
https://dlcs.io/iiif-img/2/1/77646ec9-db1f-4f19-ba21-5106faeb7b33/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-03-01T00:00:00
